ref,name,address,lat,long,description,,,,,,,
56,Geoscience,"м. Дніпропетровськ, вул. Леніна, 21
",48.464261,35.038991,"<div align=""center""><b>Geoscience</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Адреса:</u> м. Дніпропетровськ, вул. Леніна, 21<br>
<u>Телефони:</u> +380668023447, +380937368281, +380663608242<br>
<a href=""http://geoscience.com.ua/"" target=""_blank"">Офіційна веб-сторінка</a><br>
<u>E-mail:</u> geoscience@meta.ua<br>",,,,,,,
57,НПФ Глобус,"м. Дніпропетровськ, вул. наб. В.І. Леніна, 29А",48.469563,35.050372,"<div align=""center""><b>НПФ Глобус</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Поштовий індекс:</u> 49027<br>
<u>Адреса:</u> м. Дніпропетровськ, вул. наб. В.І. Леніна, 29А<br>
<u>Телефони:</u> +380977285631, +380999372585<br>
<a href=""http://globusdnepr.com.ua/"" target=""_blank"">Офіційна веб-сторінка</a><br>
<u>E-mail:</u> globusdnepr@ukr.net<br>",,,,,,,
58,УКРГЕОБУДПРОЕКТ,"Дніпропетровська область, м. Дніпродзержинськ, вул. Сировця, 16",48.516295,34.603187,"<div align=""center""><b>УКРГЕОБУДПРОЕКТ</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Поштовий індекс:</u> 51931<br>
<u>Адреса:</u> Дніпропетровська область, м. Дніпродзержинськ, вул. Сировця, 16, офіс 1<br>
<u>Телефони:</u> (0569)53-27-75, 097-950-33-71<br>
<a href=""http://ukrgeo.dp.ua/"" target=""_blank"">Офіційна веб-сторінка</a><br>
<u>E-mail:</u> geoprofi_ne@ukr.net<br>",,,,,,,
59,ПГГ Днепрогидрострой,"м. Дніпропетровськ, вул. наб. Перемоги, 58/235",48.435480,35.068314,"<div align=""center""><b>ПГГ Днепрогидрострой</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Поштовий індекс:</u> 49094<br>
<u>Адреса:</u> м. Дніпропетровськ, вул. наб. Перемоги, 58/235<br>
<u>Телефони:</u> +380562365223, +380676325392, +380562683720<br>
<a href=""http://burenie.dp.ua/"" target=""_blank"">Офіційна веб-сторінка</a><br>
<u>E-mail:</u> gidrobud@ukr.net<br>",,,,,,,
60,Алабама груп,"м. Дніпропетровськ, вул. Фучика, 18",48.458310,35.069544,"<div align=""center""><b>Алабама груп</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Поштовий індекс:</u> 49027<br>
<u>Адреса:</u> м. Дніпропетровськ, вул. Фучика, 18, офіс 522<br>
<u>Телефони:</u> +380800503057<br>
<a href=""http://fasad5.com/"" target=""_blank"">Офіційна веб-сторінка</a><br>
<u>E-mail:</u> alabamagroup@i.ua<br>",,,,,,,
61,Кондрашов,"м. Дніпропетровськ, вул. Денисова, 43",48.385768,34.982531,"<div align=""center""><b>Кондрашов</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Поштовий індекс:</u> 49057<br>
<u>Адреса:</u> м. Дніпропетровськ, вул. Денисова, 43<br>
<u>Телефони:</u> +380504571171<br>
<a href=""http://dneprgeowork.at.ua/"" target=""_blank"">Офіційна веб-сторінка</a><br>
<u>E-mail:</u> kondrashov_geo@mail.ru<br>",,,,,,,
62,Геотоп,"м. Дніпропетровськ, ул. наб. В.І. Леніна, 15",48.473648,35.039129,"<div align=""center""><b>Геотоп</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Адреса:</u> м. Дніпропетровськ, ул. наб. В.І. Леніна, 15<br>
<u>Телефони:</u> +380677994253<br>
<u>E-mail:</u> geotop312@i.ua<br>",,,,,,,
63,Геозонд,"м. Дніпропетровськ, Сімферопольська вул., 17",48.449334,35.067530,"<div align=""center""><b>Геозонд</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Поштовий індекс:</u> 49005<br>
<u>Адреса:</u> м. Дніпропетровськ, Сімферопольська вул., 17, офіс 721а<br>
<u>Телефони:</u> +380506190595<br>
<a href=""http://www.geozond.dp.ua/"" target=""_blank"">Офіційна веб-сторінка</a><br>
<u>E-mail:</u> geozond@mail.ru<br>",,,,,,,
64,Геотранстзем,"м. Дніпропетровськ, Комсомольська вул., 58",48.468477,35.029847,"<div align=""center""><b>Геотранстзем</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Поштовий індекс:</u> 49020<br>
<u>Адреса:</u> м. Дніпропетровськ, Комсомольська вул., 58<br>
<u>Телефони:</u> +380563748729, +380563748729<br>
<u>E-mail:</u> geotrastzem@i.ua<br>",,,,,,,
65,ГІЛЬДІЯ ІНЖИНІРИНГ,"м. Харків, вул. Полтавський Шлях, 32",49.988195,36.218176,"<div align=""center""><b>Гільдія Інжиніринг</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Адреса:</u> м. Харків, вул. Полтавський Шлях, 32, оф. 8<br>
<u>Телефони:</u> 063-179-86-45, (057)781-75-01<br>
<a href=""http://geotop.com.ua/index_ua.php"" target=""_blank"">Офіційна веб-сторінка</a><br>
<u>E-mail:</u> a@geotop.com.ua<br>",,,,,,,
66,Фінансово-правовий Консалтинг,"м. Харків, пл. Конституції, 1",49.988761,36.232326,"<div align=""center""><b>Фінансово-правовий Консалтинг</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Поштовий індекс:</u> 61003<br>
<u>Адреса:</u> м. Харків, пл. Конституції, 1, ""Палац Праці"", 3-й під`їзд, 6 поверх, офіси 36-11, 36-16<br>
<u>Телефони:</u> (057)731-27-26, 730-06-56, (050)300-46-10, (067)502-22-33<br>
<a href=""http://www.fconsult.com.ua/"" target=""_blank"">Офіційна веб-сторінка</a><br>
<u>E-mail:</u> kons.fpk@gmail.com<br>",,,,,,,
67,Землеустройство. Геодезия. Кадастр.,"м. Харків, вул. Пушкінська, 79/1",50.006151,36.249557,"<div align=""center""><b>Землеустройство. Геодезия. Кадастр.</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Поштовий індекс:</u> 61003<br>
<u>Адреса:</u> м. Харків, вул. Пушкінська, 79/1<br>
<u>Телефони:</u> (093)815-46-43, (095)190-33-83, (050)816-35-58, (050)838-90-17, (057)754-86-52, (067)784-81-72<br>
<a href=""http://ukrzem.kh.ua/index.html/"" target=""_blank"">Офіційна веб-сторінка</a><br>
<u>E-mail:</u> alxsid@mail.ru<br>",,,,,,,
68,Лимб-Сервис,"м. Харків, вул. Академіка Павлова, 144",50.011439,36.323065,"<div align=""center""><b>Лимб-Сервис</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Поштовий індекс:</u> 61146<br>
<u>Адреса:</u> м. Харків, вул. Академіка Павлова, 144<br>
<u>Телефони:</u> (050)192-99-33<br>
<a href=""http://limb-service.com.ua/"" target=""_blank"">Офіційна веб-сторінка</a><br>
<u>E-mail:</u> limb_service@mail.ru<br>",,,,,,,
69,Асоціація Земляни,"м. Харків, Астрономічна вул., 17",50.049633,36.290523,"<div align=""center""><b>Асоціація Земляни</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Поштовий індекс:</u> 611085<br>
<u>Адреса:</u> м. Харків, Астрономічна вул., 17, к. 41<br>
<u>Телефони:</u> (057)7202781, 0503004078<br>
<u>E-mail:</u> zemlyane@mail.ru<br>",,,,,,,
70,Земтехстандарт,"м. Харків, просп. Правди, 3",50.006518,36.224117,"<div align=""center""><b>Земтехстандарт</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Поштовий індекс:</u> 61033<br>
<u>Адреса:</u> м. Харків, просп. Правди, 3<br>
<u>Телефони:</u> +38(050)343-05-52, +38(050)142-18-75; +38(050)881-63-32<br>
<a href=""http://ztstandart.com/"" target=""_blank"">Офіційна веб-сторінка</a><br>
<u>E-mail:</u> zemtehstandart@ukr.net<br>",,,,,,,
71,"Проектный институт ""Трансюжстройпроект""","м. Харків, вул. Рилєєва, 60",49.989857,36.199346,"<div align=""center""><b>Проектный институт ""Трансюжстройпроект""</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Поштовий індекс:</u> 61045<br>
<u>Адреса:</u> м. Харків, вул. Рилєєва, 60<br>
<u>Телефони:</u> (+38057)763-10-37, (+38057)763-24-45, (+38057)763-24-46<br>
<a href=""http://www.transugstroy.ru/work/proekt"" target=""_blank"">Офіційна веб-сторінка</a><br>
<u>E-mail:</u> tusproekt@gmail.com<br>",,,,,,,
72,"Науково-виробниче підприємство ""Навигационно-геодезический центр""","м. Харків, вул. Балакірева 23-A",50.036439,36.24377,"<div align=""center""><b>Науково-виробниче підприємство ""Навигационно-геодезический центр""</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Адреса:</u> м. Харків, вул. Балакірева 23-A<br>
<u>Телефони:</u> +38(057)345-12-38<br>
<a href=""http://ngc.com.ua/"" target=""_blank"">Офіційна веб-сторінка</a><br>
<u>E-mail:</u> ngc@ngc.com.ua<br>",,,,,,,
73,"Інжерно-правовий центр ""Гранд""","м. Харків, проспект Гагаріна, 1", 49.983955,36.245737,"<div align=""center""><b>Інжерно-правовий центр ""Гранд""</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Поштовий індекс:</u> 61080<br>
<u>Адреса:</u> м. Харків, проспект Гагаріна, 1<br>
<u>Телефони:</u> +380577815317,+380988489900, +380505957414<br>
<a href=""http://grandcenter.kh.ua/main.html"" target=""_blank"">Офіційна веб-сторінка</a><br>
<u>E-mail:</u> Grandcenter@ukr.net<br>",,,,,,,
74,Дельта Консалтинг,"м. Харків, просп. Гагаріна, 4",49.983686,36.244622,"<div align=""center""><b>Дельта Консалтинг</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Поштовий індекс:</u> 61010<br>
<u>Адреса:</u> м. Харків, просп. Гагаріна, 4<br>
<u>Телефони:</u> (+38057)719-21-18; (+38057)714-04-94; (066)114-50-75; (096)8651856<br>
<a href=""http://delta-c.com.ua/"" target=""_blank"">Офіційна веб-сторінка</a><br>
<u>E-mail:</u> delta@kharkov.com, delta_k@inbox.ru<br>",,,,,,,
75,Севгеоземпроект,"м. Севастополь, вулиця Новоросійська, 48",44.60402,33.518757,"<div align=""center""><b>Севгеоземпроект</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Поштовий індекс:</u> 299011<br>
<u>Адреса:</u> м. Севастополь, вулиця Новоросійська, 48<br>
<u>Телефони:</u> +78692540841, +78692540842, +78692540843<br>
<a href=""http://www.sevgeozem.com.ua/"" target=""_blank"">Офіційна веб-сторінка</a><br>
<u>E-mail:</u> sevgeozem@mail.ru<br>",,,,,,,
76,Геокоминтиз,"м. Севастополь, вулиця Ломоносова, 17",44.606703,33.514248,"<div align=""center""><b>Геокоминтиз</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Поштовий індекс:</u> 299011<br>
<u>Адреса:</u> м. Севастополь, вулиця Ломоносова, 17, офіс 2<br>
<u>Телефони:</u> +7(8692)550293, +7(978)8311907, +7(978)0453435<br>
<a href=""http://www.geocomintiz.ru/"" target=""_blank"">Офіційна веб-сторінка</a><br>",,,,,,,
77,Гинтиз,"м. Севастополь, вулиця Індустріальна, 3А",44.563233,33.517126,"<div align=""center""><b>Гинтиз</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Поштовий індекс:</u> 299040<br>
<u>Адреса:</u> м. Севастополь, вулиця Ломоносова, 17, офіс 2<br>
<u>Телефони:</u> +78692571181<br>
<a href=""http://www.giintiz.com/"" target=""_blank"">Офіційна веб-сторінка</a><br>
<u>E-mail:</u> voznyk-viktoria@mail.ru, giintiz@inbox.ru<br>",,,,,,,
78,Меридиан,"м. Севастополь, вулиця Правди, 10",44.578669,33.435629,"<div align=""center""><b>Меридиан</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Поштовий індекс:</u> 299040<br>
<u>Адреса:</u>м. Севастополь, вулиця Правди, 10, корпус 8, офіс № 33<br>
<u>Телефони:</u> +78692542055<br>
<a href=""http://krim.meridian56.ru/"" target=""_blank"">Офіційна веб-сторінка</a><br>
<u>E-mail:</u> krim@meridian56.ru<br>",,,,,,,
79,Севгеоцентр,"м. Севастополь, вулиця Очаківців, 50",44.602769,33.520831,"<div align=""center""><b>Севгеоцентр</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Поштовий індекс:</u> 299040<br>
<u>Адреса:</u>м. Севастополь, вулиця Очаківців, 50<br>
<u>Телефони:</u> +78692548570<br>",,,,,,,
80,Таврида Будпроект,"м. Севастополь, вулиця Астана Кесаєва, 14Б",44.587344,33.456070,"<div align=""center""><b>Таврида Будпроект</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Поштовий індекс:</u> 299038<br>
<u>Адреса:</u>м. Севастополь, вулиця Астана Кесаєва, 14Б<br>
<u>Телефони:</u> +78692921110<br>",,,,,,,
81,Крымcтройсервис,"м. Севастополь, вулиця Токарева, 9",44.578132,33.508103,"<div align=""center""><b>Крымcтройсервис</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Поштовий індекс:</u> 299003<br>
<u>Адреса:</u>м. Севастополь, вулиця Астана Кесаєва, 14Б<br>
<u>Телефони:</u> +78692450787<br>",,,,,,,
82,Невада,"м. Севастополь, вулиця Новоросійська, 11",44.608596,33.516772,"<div align=""center""><b>Невада</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Поштовий індекс:</u> 299011<br>
<u>Адреса:</u> м. Севастополь, вулиця Новоросійська, 11, офіс 3<br>
<u>Телефони:</u> +78692931841<br>",,,,,,,
83,Радиан Плюс,"м. Севастополь (Балаклава), вулиця Крестовського, 28А",44.511975,33.60425,"<div align=""center""><b>Радиан Плюс</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Адреса:</u> м. Севастополь (Балаклава), вулиця Крестовського, 28А, 3й поверх<br>
<u>Телефони:</u> +78692463400, 0692463400<br>
<a href=""http://d-usov.ru/"" target=""_blank"">Офіційна веб-сторінка</a><br>
<u>E-mail:</u> radian_sev@mail.ru<br>",,,,,,,
84,Гео Експерт,"м. Севастополь, вулиця Київська, 77/4",44.596582,33.50301,"<div align=""center""><b>Гео Експерт</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Поштовий індекс:</u>295034<br>
<u>Адреса:</u> м. Севастополь, вулиця Київська, 77/4, оф. 201Г<br>
<u>Телефони:</u> +7(978)755-84-38, +380(50)496-23-93, +7(978)798-34-80<br>
<a href=""http://www.geo-expert.org/"" target=""_blank"">Офіційна веб-сторінка</a><br>
<u>E-mail:</u> geo-ekspert@mail.ru<br>",,,,,,,
85,ГІЛЬДІЯ ІНЖИНІРИНГ,"м. Одеса, Троїцька вул., 33",46.476264,30.740052,"<div align=""center""><b>Гільдія Інжиніринг</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Адреса:</u> м. Одеса, Троїцька вул., 33, ТЦ ""Троїцький""<br>
<u>Телефони:</u> 048-700-45-10<br>
<a href=""http://geotop.com.ua/index_ua.php"" target=""_blank"">Офіційна веб-сторінка</a><br>
<u>E-mail:</u> a@geotop.com.ua<br>",,,,,,,
86,Геоконсалтинг,"м. Одеса, Рішельєвська вул., 72",46.470757,30.738613,"<div align=""center""><b>Геоконсалтинг</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Адреса:</u> м. Одеса, Рішельєвська вул., 72<br>
<u>Телефони:</u> (048)711‒72‒87, (0482)37‒32‒57, (048)714‒40‒35<br>
<a href=""http://geokonsalting.od.ua/"" target=""_blank"">Офіційна веб-сторінка</a><br>
<u>E-mail:</u> odessageokonsalting@ukr.net, odessageokonsalting@gmail.com<br>",,,,,,,
87,Дива Инвест,"м. Одеса, просп. Гагаріна, 2",46.459202,30.755600,"<div align=""center""><b>Дива Инвест</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Адреса:</u> м. Одеса, просп. Гагаріна, 2<br>
<u>Телефони:</u> (048)728‒42‒28, (048)753‒40‒08, 067‒484‒30‒19, 067‒483‒74‒55<br>
<a href=""http://devainvest.od.ua/"" target=""_blank"">Офіційна веб-сторінка</a><br>
<u>E-mail:</u> devainvest@ukr.net<br>",,,,,,,
88,Ингер-Град,"м. Одеса, Люстдорфська дор., 140А",46.412642,30.724797,"<div align=""center""><b>Ингер-Град</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Адреса:</u> м. Одеса, Люстдорфська дор., 140А<br>
<u>Телефони:</u> 067‒323‒98‒06, 067‒322‒04‒21<br>
<a href=""http://inger-grad.com/"" target=""_blank"">Офіційна веб-сторінка</a><br>
<u>E-mail:</u> y.pronoza@inger.grad.com<br>",,,,,,,
89,Одеське регіональне БТІ,"м. Одеса, вул. Маршала Говорова, 11Д",46.445880,30.749880,"<div align=""center""><b>Одеське регіональне БТІ</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Поштовий індекс:</u>65000<br>
<u>Адреса:</u> м. Одеса, вул. Маршала Говорова, 11Д<br>
<u>Телефони:</u> (048)799‒75‒83, (048)737‒88‒00<br>
<a href=""http://orbti.com.ua/"" target=""_blank"">Офіційна веб-сторінка</a><br>
<u>E-mail:</u> y.pronoza@inger.grad.com<br>",,,,,,,
90,"Державне підприємство ""Инагро""","м. Одеса, вул. Чорноморського Козацтва, 115",46.514312,30.724054,"<div align=""center""><b>Державне підприємство ""Инагро""</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Адреса:</u> м. Одеса, вул. Чорноморського Козацтва, 115<br>
<u>Телефони:</u> (0482)32‒32‒31, (0482)32‒11‒70<br>
<a href=""http://zemrada.org.ua/"" target=""_blank"">Офіційна веб-сторінка</a><br>",,,,,,,
91,Одеський міський землевпорядний центр,"м. Одеса, вул. Черняховського, 6",46.438712,30.747921,"<div align=""center""><b>Одеський міський землевпорядний центр</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Поштовий індекс:</u>65009<br>
<u>Адреса:</u> м. Одеса, вул. Черняховського, 6, 6й поверх<br>
<u>Телефони:</u> (048)718‒17‒01, 067‒489‒07‒84<br>
<a href=""http://kp-ogzc.uaprom.net/"" target=""_blank"">Офіційна веб-сторінка</a><br>",,,,,,,
92,Архимас,"м. Одеса, вул. Якова Бреуса, 61/3",46.450971,30.709539,"<div align=""center""><b>Архимас</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Адреса:</u> м. Одеса, вул. Якова Бреуса, 61/3<br>
<u>Телефони:</u> 067‒557‒81‒28, 063‒946‒82‒22, (048)703‒61‒86<br>
<a href=""http://arhimas.com/"" target=""_blank"">Офіційна веб-сторінка</a><br>
<u>E-mail:</u> start@arhimas.com<br>",,,,,,,
93,ДСК Благоустрий,"м. Одеса, Люстдорфська дор., 140А",46.412453,30.725275,"<div align=""center""><b>ДСК Благоустрий</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Поштовий індекс:</u>65114<br>
<u>Адреса:</u> м. Одеса, Люстдорфська дор., 140А<br>
<u>Телефони:</u> +380487754045, +380487376797, +380677683073<br>
<a href=""http://dsk.od.ua/"" target=""_blank"">Офіційна веб-сторінка</a><br>
<u>E-mail:</u> dsk.blagoustriy@mail.ru, office@dsk.od.ua<br>",,,,,,,
94,Спецналадка,"м. Одеса, Тираспольська вул., 24",46.476861,30.725570,"<div align=""center""><b>Спецналадка</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Адреса:</u> м. Одеса, Тираспольська вул., 24<br>
<u>Телефони:</u> +380487770469, +380487732971, +380674802971<br>
<a href=""http://specnaladka.at.ua/"" target=""_blank"">Офіційна веб-сторінка</a><br>
<u>E-mail:</u> naladka_spec@ukr.net <br>",,,,,,,
95,ГІЛЬДІЯ ІНЖИНІРИНГ,"м. Житомир, вул. Першого травня, 40",50.249174,28.681644,"<div align=""center""><b>Гільдія Інжиніринг</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Адреса:</u> м. Житомир, вул. Першого травня, 40, БЦ ""Путятинський""<br>
<u>Телефони:</u> (041)246-32-17<br>
<a href=""http://geotop.com.ua/index_ua.php"" target=""_blank"">Офіційна веб-сторінка</a><br>
<u>E-mail:</u> a@geotop.com.ua<br>",,,,,,,
96,Житомирбудрозвидування,"м. Житомир, вул. Рильського, 9",50.252482,28.653923,"<div align=""center""><b>Житомирбудрозвидування</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Поштовий індекс:</u> 10014<br>
<u>Адреса:</u> м. Житомир, вул. Рильського, 9<br>
<u>Телефони:</u> 43921, 0974543898, 222601<br>
<u>E-mail:</u> peter@set.com.ua<br>",,,,,,,
97,Міський Департамент Нерухомості,"м. Житомир, вул. Небесної Сотні, 60",50.266145,28.663671,"<div align=""center""><b>Міський Департамент Нерухомості</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Адреса:</u> м. Житомир, вул. Небесної Сотні, 60<br>
<u>Телефони:</u> 0677404880, 0631350800, 0661502101 <br>
<a href=""http://mdn-ua.com/"" target=""_blank"">Офіційна веб-сторінка</a><br>",,,,,,,
98,Здобуток-II,"м. Житомир, вул. Котовського, 62",50.264160,28.676476,"<div align=""center""><b>Здобуток-II</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Поштовий індекс:</u> 10030<br>
<u>Адреса:</u> м. Житомир, вул. Котовського, 62<br>
<u>Телефони:</u> +380412414607, +380412372931<br>
<a href=""http://mdn-ua.com/"" target=""_blank"">Офіційна веб-сторінка</a><br>",,,,,,,
99,Інститут землеустрою,"м. Житомир, вул. Довженка, 45",50.245815,28.681070,"<div align=""center""><b>Інститут землеустрою</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Адреса:</u> м. Житомир, вул. Довженка, 45<br>
<u>Телефони:</u> 342430<br>
<a href=""http://dkzem.zt.ua/"" target=""_blank"">Офіційна веб-сторінка</a><br>",,,,,,,
100,Експрес сервіс,"м. Бердичів, вул. Європейська, 60",49.891185,28.593241,"<div align=""center""><b>Експрес сервіс</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Адреса:</u> Житомирська область, м. Бердичів, вул. Європейська, 60<br>
<u>Телефони:</u> (04143)40378 <br>",,,,,,,
101,ТЕРРА,"м. Житомир, Старий бул., 10",50.249149,28.667213,"<div align=""center""><b>ТЕРРА</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Поштовий індекс:</u> 10008<br>
<u>Адреса:</u> м. Житомир, Старий бул., 10<br>
<u>Телефони:</u> +380(412)420660<br>",,,,,,,
102,Житомирбудземдокументація,"м. Житомир, вул. Київська, 25",50.257347,28.666009,"<div align=""center""><b>Житомирбудземдокументація</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Адреса:</u> м. Житомир, вул. Київська, 25<br>
<u>Телефони:</u> +380(412)445638<br>",,,,,,,
103,Головне управління Держкомзему в Житомирській області,"м. Житомир, вул. Довженка, 45",50.245791,28.681075,"<div align=""center""><b>Головне управління Держкомзему в Житомирській області</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Адреса:</u> м. Житомир, вул. Довженка, 45<br>
<u>Телефони:</u> +38(0642)346831<br>
<a href=""hhttp://gudzazt.gov.ua/"" target=""_blank"">Офіційна веб-сторінка</a><br>",,,,,,,
104,ГІЛЬДІЯ ІНЖИНІРИНГ,"м. Вінниця, вул. Максимовича, 41",49.243485,28.429434,"<div align=""center""><b>Гільдія Інжиніринг</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Адреса:</u> м. Вінниця, вул. Максимовича, 41, офісний центр ""Кряж""<br>
<u>Телефони:</u> (043)269-96-70<br>
<a href=""http://geotop.com.ua/index_ua.php"" target=""_blank"">Офіційна веб-сторінка</a><br>
<u>E-mail:</u> a@geotop.com.ua<br>",,,,,,,
105,Центр Земельного Кадастру,"м. Вінниця, вул. Шолом-Алейхема, 9",49.232804,28.477587,"<div align=""center""><b>Центр Земельного Кадастру</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Адреса:</u> м. Вінниця, вул. Шолом-Алейхема, 9<br>
<u>Телефони:</u> +380(432)327985, +380(432)320727<br>",,,,,,,
106,Центр-Плюс,"м. Вінниця, Келецька вул., 84",49.226499,28.409413,"<div align=""center""><b>Центр-Плюс</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Поштовий індекс:</u> 21021<br>
<u>Адреса:</u>м. Вінниця, Келецька вул., 84<br>
<u>Телефони:</u> +380(432)612362<br>",,,,,,,
107,Инж-Агро,"м. Вінниця, вул. 600-річчя, 66",49.222171,28.425990,"<div align=""center""><b>Инж-Агро</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Поштовий індекс:</u> 21027<br>
<u>Адреса:</u>м. Вінниця, вул. 600-річчя, 66<br>
<u>Телефони:</u> (0432)51-35-66, (067)430-9-873<br>
<a href=""http://www.ingagro.com.ua/"" target=""_blank"">Офіційна веб-сторінка</a><br>
<u>E-mail:</u> ingagro@yandex.ru<br>",,,,,,,
108,Строймонтаж ЛТД,"м. Вінниця, вул. Першотравнева, 90",49.237889,28.460180,"<div align=""center""><b>Строймонтаж ЛТД</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Адреса:</u>м. Вінниця, вул. Першотравнева, 90<br>
<u>Телефони:</u> +38(0432)67-09-92, 67-60-78, 67-60-77<br>
<a href=""http://www.stmltd.com.ua/"" target=""_blank"">Офіційна веб-сторінка</a><br>",,,,,,,
109,ТриАлекс,"м. Вінниця, вул. Гоголя, 11/1",49.232,28.459446,"<div align=""center""><b>ТриАлекс</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Адреса:</u>м. Вінниця, вул. Гоголя, 11/1<br>
<u>Телефони:</u> +380432524630<br>",,,,,,,
110,Винекс,"м. Вінниця, Келецька вул., 63",49.224561,28.416333,"<div align=""center""><b>Винекс</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Адреса:</u> м. Вінниця, Келецька вул., 63<br>
<u>Телефони:</u> 69-24-57, 56-25-53, (095)088-00-02<br>",,,,,,,
111,Запорожпроект,"
м. Запоріжжя, вулиця 40-річчя Радянської України, 50А
", 47.853266,35.115809,"<div align=""center""><b>Запорожпроект</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Адреса:</u> м. Запоріжжя, вулиця 40-річчя Радянської України, 50А<br>
<u>Телефони:</u> (061)2123920, (067)6140400<br>
<a href=""http://zp-pr.stroika.biz.ua/"" target=""_blank"">Офіційна веб-сторінка</a><br>",,,,,,,
112,ЭнергоКомплекс,"м. Запоріжжя, просп. Металургів, 10","47.860661",35.106162,"<div align=""center""><b>ЭнергоКомплекс</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Поштовий індекс:</u> 69032<br>
<u>Адреса:</u> м. Запоріжжя, просп. Металургів, 10<br>
<u>Телефони:</u> +380612220800, +380612123292
+380612367868, +380612201766<br>
<a href=""http://ekom.com.ua/"" target=""_blank"">Офіційна веб-сторінка</a><br>
<u>E-mail:</u> Energokompleks2@ya.ru <br>",,,,,,,
113,ГІЛЬДІЯ ІНЖИНІРИНГ,"м. Запоріжжя, просп. Леніна, 152А",47.831170,35.161199,"<div align=""center""><b>Гільдія Інжиніринг</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Адреса:</u> м. Запоріжжя, просп. Леніна, 152А<br>
<u>Телефони:</u> 095-061-50-58, (061)707-89-96<br>
<a href=""http://geotop.com.ua/index_ua.php"" target=""_blank"">Офіційна веб-сторінка</a><br>
<u>E-mail:</u> a@geotop.com.ua<br>",,,,,,,
114,Земля ПЛЮС,"м. Запоріжжя, Рекордна вул., 20А",47.852437,35.124691,"<div align=""center""><b>Земля ПЛЮС</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Поштовий індекс:</u> 69037<br>
<u>Адреса:</u> м. Запоріжжя, Рекордна вул., 20А, оф.227<br>
<u>Телефони:</u> +380617011738, +380963705108, +380999045771<br>
<a href=""http://zemlya.zp.ua/"" target=""_blank"">Офіційна веб-сторінка</a><br>
<u>E-mail:</u> vilen.radionov@gmail.com<br>",,,,,,,
